"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","144","1","1","854.334229","0","2684"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","20","1","1","22.129614","0","89"
"/ControlRig/M_Manip.M_Manip","0","20","1","1","18.765932","0","105"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","12","1","1","24.539322","0","59"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","58","8","1","89.111084","0","397"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","16","4","1","20.300024","0","53"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","58","9","1","76.467941","0","430"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","52","7","1","69.335739","0","441"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","58","3","1","84.668541","0","305"
"Globals","49","5684","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","49","12","4","1","26.514990","0","34"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","16","3","1","31.440329","0","137"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","49","40","1","1","48.790321","0","844"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","49","12","1","1","16.385950","0","89"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","49","12","1","1","17.443855","0","89"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","49","16","1","1","18.393377","0","138"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","49","16","1","1","20.164297","0","151"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","49","12","1","1","17.460806","0","89"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial.NaniteHiddenSectionMaterial","49","60","1","1","69.781158","0","1842"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","20","1","1","22.840206","0","213"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","12","1","1","16.773930","0","82"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","50","1","1","62.044502","0","1256"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","23","1","1","27.381191","0","298"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","34","1","1","41.043575","0","577"
"/Engine/VREditor/TransformGizmo/Main.Main","49","12","1","1","16.212126","0","79"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","12","1","1","18.703312","0","89"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","53","1","1","57.571621","0","1473"
"/AnimationSharing/AnimSharingBase.AnimSharingBase","49","46","1","1","61.571674","0","1047"
"/Engine/Tutorial/SubEditors/TutorialAssets/Character/TutorialTPP_Mat.TutorialTPP_Mat","49","46","1","1","60.688515","0","1105"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","79","1","1","136.271454","0","2707"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","79","1","1","130.142548","0","2699"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","79","1","1","121.757278","0","2620"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","52","1","1","65.513824","0","657"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","16","1","1","19.673265","0","103"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","82","3","2","93.410675","0","1486"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","20","1","1","22.429230","0","163"
"/ControlRig/M_Manip.M_Manip","49","20","1","1","22.859238","0","159"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","49","12","1","1","16.356243","0","72"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","12","1","1","15.699965","0","68"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","49","136","16","6","146.668030","0","1185"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","49","144","1","1","245.279739","0","5127"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","49","14","1","1","18.316427","0","93"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","49","128","1","1","161.414536","0","4293"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","49","175","7","1","229.084091","0","7380"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","49","886","3","1","959.690186","0","84503"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","49","64","1","1","71.809090","0","1344"
"/Game/Core/World/Materials/Terrain/Terrain_M.Terrain_M","49","34","1","1","43.503300","0","516"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","49","12","1","1","14.788292","0","89"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","49","12","1","1","15.589889","0","89"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","49","53","1","1","53.320965","0","774"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","49","98","5","1","131.461975","0","2572"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","49","130","1","1","189.825775","0","3568"
